,word,gls,stem,affixes,nonfinite.affixes
18343,tar-ik,cross_the_river-pst.1pl,cross_the_river,"pst, 1pl",
18344,baːl-idaːua,look-dist.pst.1pl,look,"dist, pst, 1pl",
18345,tar-i,cross_the_river-cv,cross_the_river,cv,cv
18346,ga-ik,go-pst.1pl,go,"pst, 1pl",
18347,ʥa-ua,say-pst.1pl,say,"pst, 1pl",
18348,d-imek,go-prs.1pl,go,"prs, 1pl",
18349,tʰana,be.prs.3m.sg,be,"prs, 3m, sg",
18350,ʥa-us,say-pst.3sg,say,"pst, 3sg",
18351,ɬenʈ-i,get_into-cv,get_into,cv,cv
18352,tʰ-i-ãː,be-cv,be,cv,cv
18353,por-i,fill-cv,fill,cv,cv
18354,ʥ-itiwãː,come-subj.2pl,come,"subj, 2pl",
18355,bui,be.pst.3f.sg,be,"pst, 3f, sg",
18356,bua,be.pst.3m.sg,be,"pst, 3m, sg",
18357,ʥa-mes-aː,say-prs.2sg-q,say,"prs, 2sg, q",
18358,tʰi-ba,be-fut.3sg,be,"fut, 3sg",
18359,tʰini,be.prs.3f.sg,be,"prs, 3f, sg",
18360,b-itini,be-prf.3f.sg,be,"prf, 3f, sg",
18361,b-itini,be-prf.3f.sg,be,"prf, 3f, sg",
18362,niɕ-i,sit-cv,sit,cv,cv
18363,baːt,be.pst.3pl,be,"pst, 3pl",
18364,bui,be.pst.3f.sg,be,"pst, 3f, sg",
18365,ʥet,come.pst.3pl,come,"pst, 3pl",
18366,ɖika-met,exile(?)-prs.3pl,exile(?),"prs, 3pl",
18367,ɖe-ji,run_away-cv,run_away,cv,cv
18368,d-it,go-pst.3pl,go,"pst, 3pl",
18369,niɕ-it,sit-pst.3pl,sit,"pst, 3pl",
18370,ta-ua,see-pst.1pl,see,"pst, 1pl",
18371,ɖe-jit,run_away-pst.3pl,run_away,"pst, 3pl",
18372,ʥa-mem,say-prs.1sg,say,"prs, 1sg",
18373,tʰ-ita,be-fut.3pl,be,"fut, 3pl",
18374,tʰinem,be.prs.1m.sg,be,"prs, 1m, sg",
18375,ʥ-a,come-imp.sg,come,"imp, sg",
18376,kʰuda-a,ask-imp.sg,ask,"imp, sg",
18377,baːt,be.pst.3pl,be,"pst, 3pl",
18378,ɬ-imet,give-prs.3pl,give,"prs, 3pl",
18379,ɬ-ijaik-ãː,give-pst.1pl-dat,give,"pst, 1pl, dat",
18380,aːn-ito,bring-prf.2pl,bring,"prf, 2pl",
18381,parz-om,understand-pst.1sg,understand,"pst, 1sg",
18382,kʰuda-a,ask-imp.sg,ask,"imp, sg",
18383,kʰuda-a,ask-imp.sg,ask,"imp, sg",
18384,kʰuda-a,ask-imp.sg,ask,"imp, sg",
18385,ke-wa,do-imp.pl,do,"imp, pl",
18386,ʥ-iu,come-pst.2sg,come,"pst, 2sg",
18387,kʰaː-jiu,spend(time)-opt,spend(time),opt,
18388,ʐal-ik,fall(?)-vn,fall(?),vn,vn
18389,tʰ-ik,be-pst.1pl,be,"pst, 1pl",
18390,ʈopal-ik,gather-pst.1pl,gather,"pst, 1pl",
18391,ʥa-a,say-imp.sg,say,"imp, sg",
18392,ʐupa-met,make-prs.3pl,make,"prs, 3pl",
18393,ʐupa-met,make-prs.3pl,make,"prs, 3pl",
18394,ʥa-maːn,say-prs.3sg,say,"prs, 3sg",
18395,tʰ-imaːn,be-prs.3sg,be,"prs, 3sg",
18396,tʰ-imaːn,be-prs.3sg,be,"prs, 3sg",
18397,ke-met,do-prs.3pl,do,"prs, 3pl",
18398,tala-i,put-cv,put,cv,cv
