text_title;sentence_number;include;preceding_word;preceding_word_pos;preceding_word_morph;preceding_word_gls;borrowing;verb;verb_morph;verb_gls;sentence;sentence_gls;sentence_trsl;semantic_field;;;;;;;;;;;;
20230327-MuhammadAliShahTalkingAboutLemonGarden;198;no;paidaː;adj;paidaː;appeared;Per;ketus;ke-tus;do-prf.3sg;allah-e bum -a har bemaːri -an-i ilaːʥ te bum -an-a manzi paidaː ke-tus;God-erg/ins earth obl every decease gen-f treatment dist.obl.sg earth gen-m with/at appeared do-prf.3sg;Allah has kept the cure of every disease in the product of this soil;;;;;;;;;;;;;
20230402-syedRahimTalkingAboutTaxi;93;no;paidaː;adj;paidaː;appeared;Per;kerana;ker-ana;do-nonfin.debit;ate mublel badal ker-ok ba aːma-a nika nika-ãː bi ki rizq paidaː ker-ana tʰina;here mobil.oil change do-pst.1pl irr house-obl children-dat add what livelihood appeared do-nonfin.debit be.prs.3m.sg;if we spend on vehicle then what will we feed our children at home;;;;;;;;;;;;;
20220506-ZiaUddinAfghanAtArandu;45;yes;istiqbaːl;<Not Sure>;istiqbaːl;welcome;Ar;keron;ker-on;do-pst.3pl;te aːj-awãː ki miãː ki raw-an-a istiqbaːl ker-on;dist.obl.sg come to I.dat what way-gen-m welcome do-pst.3pl;When you came to Arundu, how were you welcomed here?;19;;;;;;;;;;;;
20211003-SadatIntrwHealth;88;yes;baːbuaːn;n;baːbuaːn;Babu.dispensary;;ɬam kemet;ɬam ke-met;do.work-prs.3pl;au lihaːzaː amn-a baːbuaːn ɬam ke-met mauʥud-a;and so our-m Babu.dispensary do.work-prs.3pl present.moment-obl;currently the Babu [dispensor] works only;9;;;;;;;;;;;;
20230112-NoorHassanTellingLifeStory;261;yes;suluʈ;<Not Sure>;suluʈ;welcome;?;ke;ke;do.cv;gila ke suluʈ ke amãː ki gila ke-t parz-os-aː ʨi ime karik laka fariqaːna gila aːjat ʥa-i;thing do.cv welcome do.cv we.dat to thing do-pst.3pl understand-pst.2sg-q that prox.pl which like thing come.pst.3pl say-cv;they looked at us respectfully and welcome us;19;;;;;;;;;;;;
20230111-PrincipleAbdulHadiAtIPS;156;no;muqarar;adj;muqarar;appointed;Ar;ketok;ke-tok;do-prf.1pl;ki naj ki tasuãː ki wazifa muqarar ke-tok;dist.dat.pl to stipend(?) appointed do-prf.1pl;we have fixed some cartain stipend for them;;;;;;;;;;;;;
20211003-AliIntrwPolitics;184;yes;ba:ti;n;ba:ti;word;;ke;ke;do-cv;su ʂatsi karka manzi ba:ti kei toa: muta:liqa xalqa manzi;prox.pl.obl for someone.obl with/at discuss.cv ** ** people.obl with/at;All these issues to be presented before a concerned forum;18;;;;;;;;;;;;
20151225-DinMuhammadFolkTale;154;;ʈʰaːn;nm;ʈʰaːn;area;;kera;ker-a;do-imp.sg;lauzaŋgal-ãː nes-ui giri xoptam bui ʥo allah paːk-ãː suwaːl ke-us ze jaː allah ʥa-us ate muʈʰa manzi mãː ki ʈʰaːn ker-a quraːn bi mo pi tʰana ʥa-us-e au taːnu kejma;dense(?)-forest-dat come.out-pst.3f.sg then dark(?) be.pst.3f.sg God clean-dat question do-pst.3sg comp oh God say-pst.3sg here tree with/at I.dat to area do-imp.sg Quran add I.obl be.prs.3m.sg say-pst.3sg and self's do-fut.1sg;When it got dark in the forest, she begged Allah to give me a place in the middle of this big tree and I will recite the Qur'an[the Holy Book of Muslims] with me.;;;;;;;;;;;;;
20151225-DinMuhammadFolkTale;155.1;;ʈʰaːn;nm;ʈʰaːn;area;;kera;ker-a;do-imp.sg;ate muʈʰa manzi mãː ʈʰaːn ker-a quraːn-a go-i suwaːl ke-us suwaːl ke-us-ãː se muʈʰa dal-uwa manz naŋga-i;here tree with/at I.dat area do-imp.sg Quran-obl take-cv question do-pst.3sg question do-pst.3sg-dat dist.sg tree split-pst.3m.sg inside throw-cv;None;;;;;;;;;;;;;
20221030-MuhibUllahAboutFarming;10;no;ʈʰaːn;nm;ʈʰaːn;area;;ke;ke;do.cv;goit ɕil-i tʰini ʨi goit awal zamaːna-a bi du gaː-naːm-a ja ʈʰaːn ke;plough such-f be.prs.3f.sg that plough first time-obl add two bull-pl-obl indf area do.cv;Earlier we used to plow the fields with oxen;;;;;;;;;;;;;
